GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BL%,A_TOV%,A_ORtg,A_DRtg,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BL%,H_TOV%,H_ORtg,H_DRtg
201104090SAS,UTA,0.542291139,0.495772152,0.191025316,0.320050633,26.80253165,71.98987342,49.10506329,62.54556962,8.346835443,9.870886076,12.86962025,108.7620253,111.0468354,SAS,0.568886076,0.529810127,0.260139241,0.299227848,24.69240506,75.04683544,50.41772152,58.19746835,8.096202532,6.688607595,12.44936709,112.2835443,105.9481013
201104100TOR,NJN,0.51843038,0.475911392,0.202050633,0.289417722,25.72658228,74.76962025,49.58101266,59.07848101,6.044303797,7.329113924,12.66708861,103.6632911,110.6759494,TOR,0.535189873,0.494063291,0.163291139,0.291101266,27.59620253,72.43797468,49.51012658,57.19367089,7.574683544,6.608860759,12.98227848,107.1063291,113.8139241
201104100IND,NYK,0.563291139,0.516037975,0.300620253,0.306746835,24.62911392,72.08227848,48.12531646,55.84050633,7.894936709,8.592405063,12.34177215,112.0670886,110.9088608,IND,0.5360875,0.4894625,0.245525,0.3044625,25.77,74.33375,50.32,53.23125,7.49625,8.45875,13.60375,105.8725,106.86375
201104100ORL,CHI,0.540658228,0.500936709,0.214278481,0.305607595,29.11898734,76.35822785,53.38607595,59.97721519,8.015189873,8.963291139,12.76329114,109.135443,100.878481,ORL,0.555468354,0.522101266,0.329050633,0.334037975,25.4556962,77.09873418,51.94177215,54.81898734,7.188607595,7.535443038,13.69873418,108.8556962,103.0544304
201104100CHA,DET,0.530949367,0.493759494,0.189240506,0.279417722,27.18607595,72.48860759,48.53544304,56.12911392,8.193670886,6.497468354,11.79746835,108.0949367,112.4772152,CHA,0.526911392,0.479822785,0.189392405,0.322329114,25.56962025,75.72911392,50.38101266,59.7721519,7.182278481,8.83164557,13.56582278,103.8379747,108.6468354
201104100MIA,BOS,0.562987342,0.520607595,0.181329114,0.312848101,21.09746835,74.91898734,49.47594937,63.7835443,9.118987342,6.770886076,13.60632911,107.6493671,101.2974684,MIA,0.57243038,0.523582278,0.233949367,0.371075949,24.68101266,75.66962025,51.68734177,53.86962025,7.32278481,8.687341772,12.7835443,112.464557,104.621519
201104100GSW,SAC,0.519582278,0.480987342,0.181202532,0.285392405,29.8,74.3164557,51.52531646,53.42531646,7.675949367,7.284810127,14.10759494,103.9797468,109.6518987,GSW,0.544696203,0.510949367,0.248392405,0.244924051,26.44936709,69.72531646,47.59493671,56.7,9.392405063,7.581012658,13.0164557,108.8658228,111.4151899
201104100LAL,OKC,0.560227848,0.500759494,0.213341772,0.366139241,26.93797468,73.77848101,51.13291139,54.33924051,8.517721519,8.727848101,12.46962025,111.9189873,107.8696203,LAL,0.545050633,0.502,0.220620253,0.296708861,29.55189873,72.45696203,51.66962025,57.18607595,8.106329114,8.136708861,11.94303797,111.5848101,104.7481013
201104100DAL,PHO,0.560797468,0.522898734,0.271443038,0.286037975,23.43417722,71.90886076,47.7721519,60.17088608,7.010126582,6.640506329,12.77468354,110.0924051,110.8620253,DAL,0.564227848,0.524050633,0.273822785,0.289202532,23.83164557,74.89746835,50.32278481,63.5835443,7.407594937,6.843037975,13.16202532,110.0063291,106.2113924
201104100MEM,NOH,0.539417722,0.495962025,0.192822785,0.298987342,25.13797468,75.89620253,50.46582278,56.96455696,8.517721519,7.660759494,12.07341772,107.6974684,105.6670886,MEM,0.533544304,0.49264557,0.135468354,0.293531646,28.83797468,73.10506329,50.63670886,52.62911392,10.23164557,9.163291139,12.39240506,108.4151899,105.7835443
