GAME_ID,AWAY,A_TS%,A_eFG%,A_3PAr,A_FTr,A_ORB%,A_DRB%,A_TRB%,A_AST%,A_STL%,A_BLK%,A_TOV%,A_ORtg,A_DRtg,A_PTS,HOME,H_TS%,H_eFG%,H_3PAr,H_FTr,H_ORB%,H_DRB%,H_TRB%,H_AST%,H_STL%,H_BLK%,H_TOV%,H_ORtg,H_DRtg,H_PTS
201612100HOU,DAL,0.5106818181818181,0.4733636363636364,0.3583636363636364,0.2207727272727273,19.799999999999997,79.6,47.36363636363635,54.54090909090908,8.20909090909091,6.627272727272728,11.672727272727274,100.53181818181817,108.4409090909091,87.0,HOU,0.5795217391304348,0.5466521739130435,0.4317826086956522,0.2673043478260869,26.76521739130435,77.0913043478261,51.85217391304347,61.199999999999996,8.130434782608694,7.982608695652174,13.77826086956522,114.38260869565218,109.32608695652173,109.0
201612100UTA,SAC,0.5418181818181819,0.49509090909090914,0.28254545454545454,0.3035909090909091,21.995454545454542,76.7681818181818,49.33181818181818,59.58636363636363,8.395454545454546,7.609090909090909,12.47727272727273,107.4909090909091,108.55,84.0,UTA,0.5661666666666666,0.5254583333333332,0.3406666666666667,0.298,19.908333333333335,77.60833333333333,50.22916666666666,52.429166666666674,6.904166666666666,8.475,11.883333333333333,110.23750000000001,105.55,104.0
201612100SAS,BRK,0.5468571428571428,0.5049047619047619,0.3973333333333333,0.28609523809523807,20.509523809523813,75.08571428571429,47.69047619047618,54.9952380952381,7.8190476190476215,7.176190476190475,14.604761904761904,103.97619047619048,112.06190476190477,101.0,SAS,0.5600869565217392,0.5145652173913043,0.27617391304347827,0.2856086956521739,21.108695652173914,78.28695652173916,49.84782608695652,60.84782608695653,8.68695652173913,10.247826086956522,11.791304347826086,110.18260869565219,105.21304347826087,130.0
201612100LAC,NOP,0.5250434782608696,0.48439130434782607,0.2858260869565218,0.2681739130434782,17.156521739130437,77.89130434782611,47.6,58.78695652173913,7.878260869565218,10.18695652173913,11.252173913043478,102.23043478260867,105.95652173913045,105.0,LAC,0.5639130434782608,0.5202608695652173,0.3174347826086957,0.3420434782608696,22.082608695652176,78.25652173913043,50.804347826086946,56.660869565217396,8.98695652173913,8.043478260869565,11.382608695652172,112.28260869565217,103.38695652173915,133.0
201612100MEM,GSW,0.6078260869565216,0.5726956521739129,0.3624782608695652,0.2853478260869565,22.678260869565218,74.23478260869565,50.439130434782605,72.22608695652173,9.604347826086956,10.617391304347827,12.92608695652174,118.47826086956523,104.85217391304347,89.0,MEM,0.5167499999999999,0.4695416666666667,0.29816666666666664,0.29287500000000005,22.92083333333333,79.74166666666666,50.45416666666668,55.75416666666667,8.9,10.470833333333331,12.299999999999997,103.19166666666665,103.41250000000001,110.0
201612110DET,PHI,0.5239565217391304,0.49465217391304334,0.3586521739130435,0.22778260869565217,20.130434782608695,76.22173913043478,48.44347826086957,61.72608695652173,7.965217391304347,9.8,14.795652173913046,99.70434782608697,108.78260869565217,97.0,DET,0.5261199999999999,0.49524000000000007,0.2438,0.20935999999999994,22.291999999999998,79.672,50.72800000000001,53.675999999999995,7.308,6.968000000000001,10.203999999999999,107.00800000000002,102.972,79.0
201612110OKC,BOS,0.549608695652174,0.513,0.3605652173913043,0.24617391304347822,21.117391304347827,74.96086956521738,47.9695652173913,63.882608695652195,7.3086956521739115,8.121739130434783,10.873913043478261,109.76521739130436,108.08260869565216,96.0,OKC,0.5413913043478261,0.5072173913043478,0.2985217391304348,0.28069565217391296,24.56086956521739,78.0391304347826,52.00434782608695,55.50434782608696,7.721739130434785,8.395652173913042,13.360869565217394,106.77826086956524,104.43913043478263,99.0
201612110LAL,NYK,0.5332173913043479,0.4988260869565217,0.29204347826086957,0.2252608695652174,26.813043478260873,74.2391304347826,50.59565217391304,55.81739130434782,7.395652173913043,9.37391304347826,12.130434782608694,108.46956521739128,111.04782608695652,118.0,LAL,0.53852,0.49656,0.2845200000000001,0.27636,25.724000000000004,76.612,50.56000000000001,52.728,8.500000000000002,5.9879999999999995,13.836000000000002,106.38799999999998,112.22399999999999,112.0
201612110MIN,GSW,0.6041249999999999,0.5696666666666667,0.36199999999999993,0.28429166666666666,22.637500000000003,74.24166666666666,50.30416666666667,71.05416666666665,9.4625,10.720833333333333,13.266666666666667,117.37916666666668,105.22916666666667,116.0,MIN,0.5449565217391303,0.5013043478260869,0.27799999999999997,0.30139130434782613,26.891304347826086,76.20869565217392,50.42173913043479,57.10000000000001,8.017391304347827,8.23913043478261,12.8304347826087,109.1869565217391,112.69130434782609,108.0
201612120TOR,MIL,0.5519545454545454,0.5142727272727273,0.2958181818181818,0.2735000000000001,22.68636363636364,76.82727272727271,50.38181818181818,60.82727272727273,8.613636363636362,10.463636363636363,13.109090909090911,107.45454545454548,106.01363636363637,100.0,TOR,0.5796956521739131,0.533217391304348,0.28839130434782606,0.3060869565217391,25.339130434782607,74.75652173913043,50.01304347826087,49.978260869565204,9.34782608695652,8.63913043478261,10.408695652173911,117.6391304347826,108.73043478260868,122.0
201612110PHO,NOP,0.5263333333333334,0.4862916666666666,0.28345833333333337,0.2700416666666666,17.295833333333334,77.74166666666669,47.52916666666667,58.94166666666666,7.679166666666667,9.833333333333334,11.387500000000001,102.4208333333333,107.17916666666669,120.0,PHO,0.5311739130434784,0.48782608695652163,0.266,0.2941739130434783,24.326086956521735,78.45217391304347,50.30869565217392,47.38695652173914,8.621739130434785,6.9739130434782615,13.39130434782609,104.00434782608693,110.5217391304348,119.0
201612120IND,CHO,0.5396250000000001,0.4972916666666667,0.3220416666666667,0.31387499999999996,19.525,80.00416666666666,50.34166666666666,62.6,6.424999999999998,8.4375,10.383333333333331,107.34999999999997,104.47499999999997,94.0,IND,0.5484583333333334,0.5057916666666665,0.25833333333333336,0.2725416666666666,20.5,73.95833333333334,47.67916666666667,56.60833333333333,9.2625,10.237499999999999,13.008333333333331,106.18333333333334,108.78749999999998,110.0
201612120MIA,WAS,0.5372272727272728,0.49977272727272726,0.24954545454545451,0.24868181818181814,24.886363636363637,75.46363636363638,49.57272727272727,54.599999999999994,9.327272727272728,6.854545454545455,12.436363636363637,106.89090909090909,108.78181818181817,101.0,MIA,0.5059583333333334,0.47720833333333346,0.29029166666666667,0.25462500000000005,25.27916666666667,74.98333333333333,49.229166666666664,54.55416666666665,7.6375,9.029166666666663,11.279166666666669,103.72500000000001,107.84583333333335,112.0
201612120HOU,BRK,0.5454090909090908,0.5025909090909091,0.39336363636363636,0.28613636363636363,20.540909090909096,75.39090909090909,47.75,55.14545454545455,7.731818181818184,6.981818181818181,14.577272727272726,103.75,112.75909090909092,118.0,HOU,0.5825,0.5500416666666668,0.43462500000000004,0.2685416666666666,26.808333333333334,77.47916666666667,52.19166666666666,62.14166666666666,7.983333333333332,7.741666666666666,13.8375,114.85000000000001,108.95,122.0
201612120LAC,POR,0.5596800000000001,0.5184399999999999,0.34928000000000003,0.27004000000000006,21.312,76.38400000000003,48.568000000000005,55.73199999999999,6.944000000000002,7.620000000000001,11.684000000000001,110.60400000000001,113.11200000000001,120.0,LAC,0.5687083333333333,0.5262916666666667,0.3201666666666667,0.33179166666666676,22.233333333333338,78.30833333333334,50.941666666666656,56.925000000000004,9.037499999999998,7.8374999999999995,11.295833333333333,113.24166666666667,103.5291666666667,121.0
