GAME_ID,AWAY_TEAM,A_FG,A_FGA,A_3P,A_3PA,A_FT,A_FTA,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOB,A_PF,A_AVG_PTS,AWAY_POINTS,HOME_TEAM,H_FG,H_FGA,H_3P,H_3PA,H_FT,H_FTA,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOB,H_PF,H_AVG_PTS,HOME_POINTS
201603230GSW,LAC,38.07142857,82.52857143,9.742857143,27.01428571,18.61428571,26.82857143,8.828571429,33.15714286,41.98571429,22.6,8.328571429,5.571428571,12.48571429,21.58571429,104.5,98,GSW,42.5915493,87.45070423,12.91549296,31.14084507,17.15492958,22.6056338,10.21126761,36.05633803,46.26760563,29.12676056,8.507042254,6.056338028,14.74647887,20.87323944,115.2535211,114
201603230HOU,UTA,35.84507042,80.47887324,8.309859155,23.35211268,17.67605634,23.50704225,11,32.16901408,43.16901408,18.90140845,7.76056338,5.169014085,14.35211268,20.64788732,97.67605634,89,HOU,37.19444444,83.01388889,10.63888889,30.93055556,20.86111111,29.80555556,11.13888889,31.65277778,42.79166667,21.90277778,10.20833333,5.097222222,15.43055556,22.05555556,105.8888889,87
201603230MIN,SAC,39.91549296,86.29577465,7.985915493,22.49295775,18.56338028,25.53521127,10.57746479,33.83098592,44.4084507,24.61971831,8.816901408,4.338028169,15.73239437,20.61971831,106.3802817,104,MIN,37.49295775,81,5.253521127,15.73239437,21.66197183,27.30985915,10.08450704,31.50704225,41.5915493,23,7.718309859,4.676056338,14.35211268,21.12676056,101.9014085,113
201603230PHO,LAL,35.3943662,84.56338028,7.845070423,24.74647887,19.36619718,24.95774648,10.66197183,32.21126761,42.87323944,18.21126761,7.126760563,4.267605634,13,20.36619718,98,107,PHO,37.01408451,85.11267606,9.028169014,25.53521127,17.4084507,23.1971831,11.05633803,33.01408451,44.07042254,20.53521127,7.718309859,3.887323944,16.07042254,22.54929577,100.4647887,119
201603230POR,DAL,37.70422535,84.54929577,9.661971831,28.12676056,17.87323944,22.45070423,8.915492958,34.16901408,43.08450704,22.36619718,6.802816901,3.704225352,12.46478873,19.4084507,102.943662,103,POR,38.56944444,85.95833333,10.5,28.625,16.95833333,22.70833333,11.625,34.05555556,45.68055556,21.16666667,6.597222222,4.402777778,13.97222222,21.90277778,104.5972222,109
201603230SAS,MIA,37.92957746,81.09859155,6.070422535,18.05633803,17.42253521,23.35211268,9.633802817,34.6056338,44.23943662,20.88732394,6.633802817,6.591549296,13.36619718,18.14084507,99.35211268,88,SAS,40.66197183,83.4084507,7.14084507,18.66197183,15.95774648,19.83098592,9.352112676,35.09859155,44.45070423,24.97183099,8.112676056,6.014084507,12.61971831,17.64788732,104.4225352,112
201603230WAS,ATL,38.66666667,83.90277778,9.861111111,28.01388889,15.65277778,20.04166667,8.222222222,33.48611111,41.70833333,25.61111111,9.277777778,5.680555556,14.61111111,19,102.8472222,122,WAS,39.05633803,85.46478873,8.633802817,24.08450704,16.38028169,22.23943662,8.873239437,32.30985915,41.18309859,23.97183099,8.746478873,3.929577465,13.73239437,20.74647887,103.1267606,101
201603240BRK,CLE,38.65277778,83.875,10.40277778,29.125,16.18055556,21.73611111,10.76388889,33.68055556,44.44444444,22.52777778,6.736111111,3.694444444,12.83333333,20.34722222,103.8888889,95,BRK,38.25352113,83.73239437,6.352112676,17.85915493,15.53521127,20.29577465,10.16901408,32.14084507,42.30985915,22.1971831,7.408450704,4.014084507,14.23943662,18.02816901,98.3943662,104
201603240IND,NOP,38.49295775,86.30985915,8.521126761,24.05633803,17.43661972,22.33802817,9.478873239,33.26760563,42.74647887,21.73239437,7.802816901,4.450704225,12.84507042,21.07042254,102.943662,84,IND,38.04225352,85.36619718,7.971830986,22.92957746,17.5915493,23.12676056,10.29577465,33.83098592,44.12676056,20.77464789,9.014084507,4.873239437,14.25352113,19.97183099,101.6478873,92
201603240LAC,POR,38.47945205,85.87671233,10.43835616,28.56164384,17.05479452,22.83561644,11.5890411,34.02739726,45.61643836,21.12328767,6.643835616,4.410958904,13.98630137,21.94520548,104.4520548,94,LAC,38.05633803,82.52112676,9.661971831,26.90140845,18.6056338,26.84507042,8.85915493,33.1971831,42.05633803,22.57746479,8.338028169,5.563380282,12.53521127,21.69014085,104.3802817,96
