GAME_ID,AWAY_ML,HOME_ML,SPREAD,TOTAL_POINTS
201812290UTA,700,-1100,14,214
201812290WAS,-170,145,2.5,223
201812300DAL,-140,120,2.5115,222.5
201812300LAL,110,-130,1.5,231.5
201812300MIA,142,-165,3,211
201812300ORL,105,-125,2,204
201812300POR,135,-155,1,221.5
201812300TOR,550,-800,10.5,207.5
201812310CHO,290,-380,7.5,210
201812310HOU,160,-190,5.5,199.5
201812310IND,800,-1400,11,220.5
201812310NOP,100,-120,4.5,232
201812310OKC,270,-340,7.5,222.5
201812310PHO,-650,450,10,227.5
201812310SAS,-115,-105,pk,220
20191010DEN,800,-1400,13.5,217.5
20191010LAC,-125,105,3,234
20191010MIL,425,-600,10,218
20191010SAC,-120,100,1.5,230
20191010TOR,-105,-115,3,212
20191020BOS,230,-280,6,221.5
20191020BRK,-125,105,1,230.5
20191020CHI,-120,100,2.5,199.5
20191020CHO,105,-125,3,220
20191020CLE,-230,185,6.5,204.5
20191020LAL,-240,190,6,230
20191020MEM,210,-260,5,199
20191020PHO,-170,145,6,228.5
20191020WAS,210,-260,4,229
20191030GSW,320,-420,8,225.5
20191030SAC,-170,145,2.5,227.5
20191030SAS,140,-160,1.5,216.5
20191040BOS,150,-180,5.5,217
20191040CHI,-300,240,6,201.5
20191040CLE,-550,400,10,208
20191040LAL,200,-250,7,224
20191040MEM,150,-180,3,204
20191040MIA,235,-290,7,214.5
20191040MIL,900,-1600,13.5,230.5
20191040MIN,150,-180,6,212
20191040PHO,-210,175,4.5,233
20191040POR,-110,-110,pk,223.5
20191050CLE,-550,400,8.5,222.5
20191050DEN,375,-500,8,219.5
20191050DET,-180,150,1.5,208
20191050MIL,190,-240,5.5,222.5
20191050PHI,225,-275,6.5,226.5
20191050POR,115,-135,1.5,216.5
20191050SAC,-380,290,8.5,238.5
20191050SAS,320,-420,8.5,205
20191060ATL,-300,240,5,221.5
20191060CHI,-130,110,2.5,208
20191060LAC,240,-300,7.5,220.5
20191060MIN,300,-400,7,222
20191060OKC,500,-700,10.5,226
20191060PHO,100,-120,2.5,224
20191060TOR,-110,-110,2,213
20191070BOS,500,-700,10.5,218.5
20191070DAL,250,-310,8,222.5
20191070DET,-150,130,3.5,213.5
20191070HOU,100,-120,1,215
20191070MIL,185,-230,5.5,221.5
20191070NOP,170,-200,5.5,212.5
20191070POR,550,-800,12,220.5
20191070SAC,160,-190,5,224
20191080CLE,-600,425,9.5,207
20191080GSW,1600,-6000,16.5,230
20191080LAC,225,-275,5,230
20191080MIA,110,-130,1,209.5
20191080OKC,300,-400,7.5,223.5
20191080PHI,300,-400,8.5,227.5
20191080PHO,-180,150,3,232
20191080TOR,800,-1400,15,228.5
20191090BOS,250,-310,6.5,212.5
20191090BRK,300,-400,8,227
20191090DAL,550,-800,9,221
20191090HOU,-125,105,pk,225.5
20191090LAL,105,-125,2,218
20191090MEM,-150,130,3.5,204
20191090NOP,950,-1800,13.5,221.5
20191090POR,425,-600,10,205.5
20191090UTA,400,-550,9,206.5
20191090WAS,-170,145,2.5,226
20191100DEN,185,-230,5.5,226
20191100MIA,-155,135,1.5,209.5
20191100SAC,280,-360,5,224.5
20191100SAS,-125,105,1,224.5
20191110GSW,1100,-2500,15.5,221.5
20191110HOU,900,-1600,14.5,217.5
20191110MIN,160,-190,4.5,221
20191110NYK,-400,300,8,218.5
20191110PHI,450,-650,12.5,231.5
20191110POR,220,-270,6.5,223
20191110TOR,450,-650,10.5,219.5
20191110UTA,300,-400,10,217
20191110WAS,-135,115,7.5,231
20191120LAC,260,-330,7.5,221
20191120MIA,145,-170,4.5,196.5
20191120MIN,-125,105,1.5,234
20191120OKC,210,-260,3,228
20191120ORL,-350,275,7,210
20191120PHO,-500,375,10,217.5
20191120SAC,200,-250,4,234.5
20191120UTA,600,-900,11.5,206
20191130ATL,-550,400,11,232.5
20191130DAL,-260,210,5.5,228.5
20191130DEN,160,-190,4.5,217
20191130LAL,450,-650,9.5,216.5
20191130NYK,-500,375,6,227.5
20191130ORL,-220,180,4.5,213.5
20191130WAS,-220,180,6.5,227.5
20191140BRK,-140,120,4.5,221
20191140HOU,145,-170,7,203
20191140LAC,-120,100,2,240
20191140SAC,110,-130,1,227.5
20191140SAS,280,-360,8,223
20191140UTA,280,-360,8,208.5
20191150ATL,-550,400,8.5,233
20191150DEN,-135,115,1.5,228
20191150IND,450,-650,10,220
20191150LAL,240,-300,6,214
20191150MIL,350,-450,9,220
20191150PHI,210,-260,4.5,232
20191160BOS,125,-145,2115,222
20191160DAL,100,-120,1,218.5
20191160DET,145,-170,3,204
